//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
35	181	181	1	508	3000	0	1810	0	0	0	0	0	0	0	0	0	1810	0	0	0	0	0	0	0	0	0	// Eagle Of Saron
35	322	322	1	508	2900	0	3220	0	0	0	0	0	0	0	0	0	3220	0	0	0	0	0	0	0	0	0	// Pet Ferir Armageddon
35	323	323	1	508	2900	0	3230	0	0	0	0	0	0	0	0	0	3230	0	0	0	0	0	0	0	0	0	// Pet Ferir Of Apocalipse
35	324	324	1	508	2900	0	3240	0	0	0	0	0	0	0	0	0	3240	0	0	0	0	0	0	0	0	0	// Pet Arcanjo Voador
35	325	325	1	508	4900	0	3250	0	0	0	0	0	0	0	0	0	3250	0	0	0	0	0	0	0	0	0	// Pet Eagle Zeus
35	326	326	1	508	3900	0	3260	0	0	0	0	0	0	0	0	0	3260	0	0	0	0	0	0	0	0	0	// Pet Ferir Blue
35	327	327	1	508	3900	0	3270	0	0	0	0	0	0	0	0	0	3270	0	0	0	0	0	0	0	0	0	// Pet Ferir Green
35	328	328	1	508	3900	0	3280	0	0	0	0	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	0	// Pet Ferir purple
35	329	329	1	508	3900	0	3290	0	0	0	0	0	0	0	0	0	3290	0	0	0	0	0	0	0	0	0	// Pet Ferir Pink
35	330	330	1	508	3900	0	3300	0	0	0	0	0	0	0	0	0	3300	0	0	0	0	0	0	0	0	0	// Pet Ferir Red
35	331	331	1	508	4500	0	3310	0	0	0	0	0	0	0	0	0	3310	0	0	0	0	0	0	0	0	0	// Pet Ferir Azul[Efts]
35	332	332	1	508	4500	0	3320	0	0	0	0	0	0	0	0	0	3320	0	0	0	0	0	0	0	0	0	// Pet Ferir Red [Efts]
35	333	333	1	508	4500	0	3330	0	0	0	0	0	0	0	0	0	3330	0	0	0	0	0	0	0	0	0	// Pet Ferir Sky [Efts]
35	334	334	1	508	4500	0	3340	0	0	0	0	0	0	0	0	0	3340	0	0	0	0	0	0	0	0	0	// Pet Ferir Green [Efts]
35	335	335	1	508	2500	0	3350	0	0	0	0	0	0	0	0	0	3350	0	0	0	0	0	0	0	0	0	// Horn Of Uniria
35	336	336	1	508	5500	0	3360	0	0	0	0	0	0	0	0	0	3360	0	0	0	0	0	0	0	0	0	// Horse Amarelo
35	337	337	1	508	2500	0	3370	0	0	0	0	0	0	0	0	0	3370	0	0	0	0	0	0	0	0	0	// Pet Of Green V2
35	339	339	1	508	3500	0	3390	0	0	0	0	0	0	0	0	0	3390	0	0	0	0	0	0	0	0	0	// Ghost Horse
35	340	340	1	508	5500	0	3400	0	0	0	0	0	0	0	0	0	3400	0	0	0	0	0	0	0	0	0	// Pet Horse White
37	100	100	1	508	3000	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	// Wing of Storm
37	182	182	1	508	3000	0	1820	0	0	0	0	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	// Wing of Eternal
37	183	183	1	508	3000	0	1830	0	0	0	0	0	0	0	0	0	1830	0	0	0	0	0	0	0	0	0	// Wing of Illusion
37	184	184	1	508	3000	0	1840	0	0	0	0	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	// Wing of Ruin
37	185	185	1	508	3000	0	1850	0	0	0	0	0	0	0	0	0	1850	0	0	0	0	0	0	0	0	0	// Cape of Emperor
41	101	101	1	509	350	0	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Bronze Helm
41	102	102	1	509	350	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Dragon Helm
41	103	103	1	509	350	0	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// Pad Helm
41	104	104	1	509	300	0	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Legendary Helm
41	105	105	1	509	300	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Bone Helm
41	106	106	1	509	300	0	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// Leather Helm
41	107	107	1	509	280	0	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Scale Helm
41	108	108	1	509	280	0	1080	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	// Sphinx Mask
41	109	109	1	509	280	0	1090	0	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	// Brass Helm
41	110	110	1	509	280	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Plate Helm
41	111	111	1	509	320	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Black Dragon Helm
41	112	112	1	509	320	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Dark Phoenix Helm
41	113	113	1	509	320	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Grand Soul Helm
41	114	114	1	509	400	0	1140	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	// Great Dragon Helm
41	115	115	1	509	400	0	1150	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	// Dark Soul Helm
41	116	116	1	509	300	0	1160	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	// Light Plate Mask
42	117	117	1	509	350	0	1170	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	// Bronze Armor
42	118	118	1	509	350	0	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Dragon Armor
42	119	119	1	509	350	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Pad Armor
42	120	120	1	509	300	0	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Legendary Armor
42	121	121	1	509	300	0	1210	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	// Bone Armor
42	122	122	1	509	300	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Leather Armor
42	123	123	1	509	280	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Scale Armor
42	124	124	1	509	280	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Sphinx Armor
42	125	125	1	509	280	0	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Brass Armor
42	126	126	1	509	320	0	1260	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	// Plate Armor
42	127	127	1	509	320	0	1270	0	0	0	0	0	0	0	0	0	1270	0	0	0	0	0	0	0	0	0	// Black Dragon Armor
42	128	128	1	509	320	0	1280	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	// Dark Phoenix Armor
42	129	129	1	509	320	0	1290	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	0	0	// Grand Soul Armor
42	130	130	1	509	400	0	1300	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	// Great Dragon Armor
42	131	131	1	509	400	0	1310	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	// Dark Soul Armor
42	132	132	1	509	300	0	1320	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	// Light Plate Armor
43	133	133	1	509	350	0	1330	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	// Bronze Pants
43	134	134	1	509	350	0	1340	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	// Dragon Pants
43	135	135	1	509	350	0	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// Pad Pants
43	136	136	1	509	300	0	1360	0	0	0	0	0	0	0	0	0	1360	0	0	0	0	0	0	0	0	0	// Legendary Pants
43	137	137	1	509	300	0	1370	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	// Bone Pants
43	138	138	1	509	300	0	1380	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	// Leather Pants
43	139	139	1	509	280	0	1390	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	// Scale Pants
43	140	140	1	509	280	0	1400	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	// Sphinx Pants
43	141	141	1	509	280	0	1410	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	// Brass Pants
43	142	142	1	509	320	0	1420	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	// Plate Pants
43	143	143	1	509	320	0	1430	0	0	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	// Black Dragon Pants
43	144	144	1	509	320	0	1440	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	// Dark Phoenix Pants
43	145	145	1	509	320	0	1450	0	0	0	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	// Grand Soul Pants
43	146	146	1	509	400	0	1460	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	0	0	0	0	0	// Great Dragon Pants
43	147	147	1	509	400	0	1470	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	0	0	0	0	// Dark Soul Pants
43	148	148	1	509	300	0	1480	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	// Light Plate Pants
44	149	149	1	509	350	0	1490	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	// Bronze Gloves
44	150	150	1	509	350	0	1500	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	// Dragon Gloves
44	151	151	1	509	350	0	1510	0	0	0	0	0	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	// Pad Gloves
44	152	152	1	509	300	0	1520	0	0	0	0	0	0	0	0	0	1520	0	0	0	0	0	0	0	0	0	// Legendary Gloves
44	153	153	1	509	300	0	1530	0	0	0	0	0	0	0	0	0	1530	0	0	0	0	0	0	0	0	0	// Bone Gloves
44	154	154	1	509	300	0	1540	0	0	0	0	0	0	0	0	0	1540	0	0	0	0	0	0	0	0	0	// Leather Gloves
44	155	155	1	509	280	0	1550	0	0	0	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	// Scale Gloves
44	156	156	1	509	280	0	1560	0	0	0	0	0	0	0	0	0	1560	0	0	0	0	0	0	0	0	0	// Sphinx Gloves
44	157	157	1	509	280	0	1570	0	0	0	0	0	0	0	0	0	1570	0	0	0	0	0	0	0	0	0	// Brass Gloves
44	158	158	1	509	320	0	1580	0	0	0	0	0	0	0	0	0	1580	0	0	0	0	0	0	0	0	0	// Plate Gloves
44	159	159	1	509	320	0	1590	0	0	0	0	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	0	// Black Dragon Gloves
44	160	160	1	509	320	0	1600	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	// Dark Phoenix Gloves
44	161	161	1	509	320	0	1610	0	0	0	0	0	0	0	0	0	1610	0	0	0	0	0	0	0	0	0	// Grand Soul Gloves
44	162	162	1	509	400	0	1620	0	0	0	0	0	0	0	0	0	1620	0	0	0	0	0	0	0	0	0	// Great Dragon Gloves
44	163	163	1	509	400	0	1630	0	0	0	0	0	0	0	0	0	1630	0	0	0	0	0	0	0	0	0	// Dark Soul Gloves
44	164	164	1	509	300	0	1640	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	// Light Plate Gloves
45	165	165	1	509	350	0	1650	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	// Bronze Boots
45	166	166	1	509	350	0	1660	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	0	0	0	0	0	// Dragon Boots
45	167	167	1	509	350	0	1670	0	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	0	// Pad Boots
45	168	168	1	509	300	0	1680	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	0	0	0	// Legendary Boots
45	169	169	1	509	300	0	1690	0	0	0	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	0	0	// Bone Boots
45	170	170	1	509	300	0	1700	0	0	0	0	0	0	0	0	0	1700	0	0	0	0	0	0	0	0	0	// Leather Boots
45	171	171	1	509	280	0	1710	0	0	0	0	0	0	0	0	0	1710	0	0	0	0	0	0	0	0	0	// Scale Boots
45	172	172	1	509	280	0	1720	0	0	0	0	0	0	0	0	0	1720	0	0	0	0	0	0	0	0	0	// Sphinx Boots
45	173	173	1	509	280	0	1730	0	0	0	0	0	0	0	0	0	1730	0	0	0	0	0	0	0	0	0	// Brass Boots
45	174	174	1	509	320	0	1740	0	0	0	0	0	0	0	0	0	1740	0	0	0	0	0	0	0	0	0	// Plate Boots
45	175	175	1	509	320	0	1750	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	0	0	0	0	// Black Dragon Boots
45	176	176	1	509	320	0	1760	0	0	0	0	0	0	0	0	0	1760	0	0	0	0	0	0	0	0	0	// Dark Phoenix Boots
45	177	177	1	509	320	0	1770	0	0	0	0	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	0	// Grand Soul Boots
45	178	178	1	509	400	0	1780	0	0	0	0	0	0	0	0	0	1780	0	0	0	0	0	0	0	0	0	// Great Dragon Boots
45	179	179	1	509	400	0	1790	0	0	0	0	0	0	0	0	0	1790	0	0	0	0	0	0	0	0	0	// Dark Soul Boots
45	180	180	1	509	300	0	1800	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	// Light Plate Boots
46	343	343	1	509	500	0	3430	0	0	0	0	0	0	0	0	0	3430	0	0	0	0	0	0	0	0	0	// Sword of Destruction
46	344	344	1	509	500	0	3440	0	0	0	0	0	0	0	0	0	3440	0	0	0	0	0	0	0	0	0	// Dark Breaker
46	345	345	1	509	500	0	3450	0	0	0	0	0	0	0	0	0	3450	0	0	0	0	0	0	0	0	0	// Thunder Blade
