//Index	ItemIndex   AddHP	AddMP	DamageRate   AttackSpeed   DoubleDmgRate	TripleDmgRate	AddExp	ResistDoubleDmg	ResistIgnoreDefense	ResistIgnoreSD	ResistCriticalDMG	ResistExceDMG	BlockStuck	ReflectRate	PetRecovery	Commnet
1	6856	    200		500	40	     50	     	   1			0		0	0		0			0		0			0		0		0		1		//FenrirDark
2	6857	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//PetOfCupM
3	6858	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//PetOfCupF
4	6859	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//fenrirghostRed
5	6860	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//fenrirghostPink
6	6861	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//Mini Fenrir
7	6862	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//icedragon_rare
8	6863	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//icedragon_dr4
9	6864	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//FenrirNatal
10	6865	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//HorseNatal
11	6866	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//ChristmasPet
12	6867	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//pet229
13	6868	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//Pet02
14	6869	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//angel
15	6870	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//EagleHorus
16	6871	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//MummyHorus
17	6872	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//Eagle RDDLV
18	6873	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//PETSTEEL 2.0
19	6874	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//mommothpet_evol
20	6875	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//mummyboy
21	6876	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//blue
22	6877	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//HorseWhiteTnF
23	6878	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//green
24	6879	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//purple
25	6880	    5000	1000	100	     50	           50			0		0	0		0			0		0			0		0		0		1		//pink
26	6881	    10000	2000	100	     100	   100			0		0	0		0			0		0			0		0		0		1		//red
27	6882	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//AwayFenrirBluev1
28	6883	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//AwayFenrirRed
29	6884	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//AwayFenrirBlue
30	6885	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//AwayFenrirGreen
31	6886	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//ghost_horse
32	6887	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//fenril_gold
33	6888	    5000	1000	100	     50	           50			0		0	0		0			0		0			0		0		0		1		//Pet_YYXS
34	6889	    10000	2000	100	     100	   100			0		0	0		0			0		0			0		0		0		1		//GhostHorse
35	6890	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//PET300
36	6891	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//Pet200
37	6892	    10000	2000	100	     100	   100			0		0	0		0			0		0			0		0		0		1		//horsechristmas
38	6893	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//PET Ferri Blood Vampire
39	6894	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//minipet_new2022
40	6895	    10000	2000	100	     100	   100			0		0	0		0			0		0			0		0		0		1		//pet_new2022
41	6896	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//Eagle Fire Gren
42	6897	    10000	2000	100	     100	   100			0		0	0		0			0		0			0		0		0		1		//Ferir Fire Gren
end
