0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory
"Pet Egg"	 	 1000	   100		  1		  0		    0		   1            0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
13          200     0          0          0       0      0        0
13          201     0          0          0       0      0        0
13          202     0          0          0       0      0        0
13          203     0          0          0       0      0        0
13          204     0          0          0       0      0        0
13          205     0          0          0       0      0        0
13          206     0          0          0       0      0        0
13          207     0          0          0       0      0        0
13          208     0          0          0       0      0        0
13          209     0          0          0       0      0        0
13          210     0          0          0       0      0        0
13          211     0          0          0       0      0        0
13          212     0          0          0       0      0        0
13          213     0          0          0       0      0        0
13          214     0          0          0       0      0        0
13          215     0          0          0       0      0        0
13          216     0          0          0       0      0        0
13          217     0          0          0       0      0        0
13          218     0          0          0       0      0        0
13          219     0          0          0       0      0        0
13          220     0          0          0       0      0        0
13          221     0          0          0       0      0        0
13          222     0          0          0       0      0        0
13          223     0          0          0       0      0        0
end
