//Section   Type   MaxSocket
0           26     5
0           27     5
0           28     5
0           29     5
0           30     5
0           36     5
0           37     5
2           16     5
2           17     5
2           19     5
2           20     5
3           12     5
4           23     5
4           25     5
4           26     5
5           30     5
5           31     5
5           32     5
5           35     5
5           37     5
6           17     5
6           18     5
6           19     5
6           20     5
6           22     5
6           23     5
6           24     5
6           25     5
6           26     5
7           45     5
7           46     5
7           47     5
7           48     5
7           49     5
7           50     5
7           51     5
7           52     5
7           53     5
7           54     5
7           55     5
7           56     5
7           58     5
7           74     5
7           75     5
8           45     5
8           46     5
8           47     5
8           48     5
8           49     5
8           50     5
8           51     5
8           52     5
8           53     5
8           54     5
8           55     5
8           56     5
8           57     5
8           58     5
8           74     5
8           75     5
8           76     5
9           45     5
9           46     5
9           47     5
9           48     5
9           49     5
9           50     5
9           51     5
9           52     5
9           53     5
9           54     5
9           55     5
9           56     5
9           57     5
9           58     5
9           74     5
9           75     5
9           76     5
10          45     5
10          46     5
10          47     5
10          48     5
10          49     5
10          50     5
10          51     5
10          52     5
10          53     5
10          54     5
10          55     5
10          56     5
10          57     5
10          58     5
10          74     5
10          75     5
10          76     5
11          45     5
11          46     5
11          47     5
11          48     5
11          49     5
11          50     5
11          51     5
11          52     5
11          53     5
11          54     5
11          55     5
11          56     5
11          57     5
11          58     5
11          74     5
11          75     5
11          76     5
end
