//===================================================================================================================
// NORIA NPCS (Map 3)
//===================================================================================================================
0
//Index  Range  PosX  PosY  Dir  Comment
 //234      00     198   126   02   //Pet Trainer
 237      00     171   105   03   //Charon
 238      00     180   103   01   //Chaos Goblin
 240      00     172   096   03   //Safety Guardian
 242      00     173   125   01   //Elf Lala
 243      00     195   124   02   //Eo the Craftsman
 244      00     183   104   01   //Caren the Barmaid
 257      00     166   085   02   //Shadow Phantom Soldier
 257      00     167   118   01   //Shadow Phantom Soldier
 257      00     201   129   02   //Shadow Phantom Soldier
 451      00     179   129   03   //Cherry Blossom Tree
 //702      00     166    98    03   //Reset
 //224     00     167    102    03
//  713     00     167    102    03   //Zeen
end

//===================================================================================================================
// SPOT - NORIA (Map 3)
//===================================================================================================================
1
//Index  Range  BegX  BegY  EndX  EndY  Dir  Qty  Comment
 026      30     151   119   152   120   -1   19   //Goblin
 026      05     168   074   168   074   -1   15   //Goblin
 027      30     161   078   167   077   -1   21   //Chain Scorpion
 027      05     154   077   154   077   -1   15   //Chain Scorpion
 028      30     000   000   128   128   -1   85   //Beetle Monster
 028      05     153   126   153   126   -1   15   //Beetle Monster
 029      30     000   000   128   128   -1   55   //Hunter
 029      05     147   116   147   116   -1   15   //Hunter
 030      30     000   128   251   245   -1   55   //Forest Monster
 030      05     204   147   204   147   -1   15   //Forest Monster
 031      30     000   128   251   245   -1   55   //Agon
 031      05     135   116   135   116   -1   15   //Agon
 032      30     128   128   251   245   -1   55   //Stone Golem
 032      30     208   141   209   142   -1   15   //Stone Golem
 032      30     203   140   201   140   -1   15   //Stone Golem
 032      05     105   239   101   225   -1   15   //Stone Golem
 032      05     218   134   218   134   -1   15   //Stone Golem
 033      30     000   128   128   245   -1   55   //Elite Goblin
 033      05     157   063   157   063   -1   15   //Elite Goblin
end
