//===================================================================================================================
// [NPCS] ATLANS (Map 7)
//===================================================================================================================
0
//Index  Range  PosX  PosY  Dir  Comment
240      00     017   020   03   //Safety Guardian
end

//===================================================================================================================
// [SPOT] - ATLANS (Map 7) - AREAS (Tipo 1)
//===================================================================================================================
1
//Index  Range  BegX  BegY  EndX  EndY  Dir  Qty  Comment
045      30     010   010   080   080   -1   20   //Bahamut
046      30     010   010   080   080   -1   20   //Vepar
047      30     090   090   180   180   -1   25   //Valkyrie
048      30     190   190   240   240   -1   20   //Lizard King
051      30     190   190   240   240   -1   15   //Great Bahamut
052      30     190   190   240   240   -1   15   //Silver Valkyrie
049      30     020   220   060   240   -1   10   //Hydra
end

//===================================================================================================================
// [SPOT] - ATLANS (Map 7) - EXACTAS (Tipo 2)
//===================================================================================================================
2
//Index  Range  PosX  PosY  Dir  Comment
047      30     079   070   -1   //Valkyrie
047      30     085   064   -1   //Valkyrie
047      30     094   060   -1   //Valkyrie
047      30     101   050   -1   //Valkyrie
047      30     106   048   -1   //Valkyrie
047      30     112   045   -1   //Valkyrie
047      30     109   038   -1   //Valkyrie
047      30     118   037   -1   //Valkyrie
047      30     122   029   -1   //Valkyrie
047      30     119   020   -1   //Valkyrie
047      30     124   014   -1   //Valkyrie
047      30     133   014   -1   //Valkyrie
047      30     150   014   -1   //Valkyrie
047      30     161   011   -1   //Valkyrie
047      30     166   016   -1   //Valkyrie
047      30     171   018   -1   //Valkyrie
047      30     182   014   -1   //Valkyrie
047      30     190   024   -1   //Valkyrie
047      30     196   027   -1   //Valkyrie
047      30     200   017   -1   //Valkyrie
047      30     208   009   -1   //Valkyrie
047      30     218   047   -1   //Valkyrie
047      30     222   014   -1   //Valkyrie
047      30     117   074   -1   //Valkyrie
047      30     139   061   -1   //Valkyrie
047      30     152   061   -1   //Valkyrie
047      30     172   055   -1   //Valkyrie
047      30     189   056   -1   //Valkyrie
047      30     226   046   -1   //Valkyrie
047      30     240   011   -1   //Valkyrie
047      30     227   016   -1   //Valkyrie
047      30     152   022   -1   //Valkyrie
047      30     142   015   -1   //Valkyrie
047      30     128   022   -1   //Valkyrie
047      30     116   009   -1   //Valkyrie
047      30     113   027   -1   //Valkyrie
047      30     033   108   -1   //Valkyrie
047      30     035   118   -1   //Valkyrie
051      30     228   016   -1   //Great Bahamut
051      30     237   017   -1   //Great Bahamut
051      30     237   026   -1   //Great Bahamut
051      30     238   040   -1   //Great Bahamut
051      30     235   048   -1   //Great Bahamut
051      30     251   051   -1   //Great Bahamut
051      30     206   055   -1   //Great Bahamut
051      30     200   049   -1   //Great Bahamut
051      30     193   052   -1   //Great Bahamut
051      30     184   052   -1   //Great Bahamut
051      30     178   058   -1   //Great Bahamut
051      30     170   061   -1   //Great Bahamut
051      30     156   059   -1   //Great Bahamut
