0
//Monster      Range      PositionX      PositionY      Direction      Comment
217            00         167            195            07             //Crown Switch 2
218            00         184            195            07             //Crown Switch 1
216            00         176            212            01             //Crown
220            00         139            101            03             //Gatekeeper
224            00         086            061            01             //Guardsman
224            00         099            061            01             //Guardsman
223            00         179            214            01             //Senior
376            00         090            044            01             //Pamela the Supplier
377            00         089            218            03             //Angela the Supplier
end
