//=========================================================================================================
// QUEST 0: First Quest (Find the Scroll of Emperor) - Priest Sevina (235)
// Lógica Coreana: Nivel mínimo 45 (Rango original del item: 45~60). Ajustado a 45~150 para el cambio de clase.
//=========================================================================================================
//Index   StartType   MonsterClass   CurrentState   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   DW      DK      FE      MG      DL      SU      RF
0         0           235            3              *              *              45                150               1       1       1       0       0       1       0
1         0           235            3              0              2              45                150               1       1       1       0       0       1       0
2         0           229            3              1              2              110               150               2       2       2       0       0       2       0
3         0           229            3              2              2              110               150               0       2       0       0       0       0       0
4         0           406            3              2              2              220               350               2       0       2       0       0       2       0
4         0           406            3              3              2              220               350               0       2       0       0       0       0       0
4         0           406            3              *              *              220               350               0       0       0       1       1       0       1
5         0           406            3              4              2              220               350               2       2       2       1       1       2       1
6         0           406            3              5              2              220               350               2       2       2       1       1       2       1

//=========================================================================================================
// QUEST 1: Second Quest (Three Treasures of Mu) - Priest Sevina (235) / Marlon (229)
// Lógica Coreana: Nivel mínimo 62 (Rango original del item: 62~76). Separado por clases como el original.
//=========================================================================================================
// Dark Wizard
0         0           235            0              *              *              62                220               1       0       0       0       0       0       0
1         0           235            0              0              2              62                220               1       0       0       0       0       0       0
// Dark Knight
0         0           235            0              *              *              62                220               0       1       0       0       0       0       0
1         0           235            0              0              2              62                220               0       1       0       0       0       0       0
// Fairy Elf
0         0           235            0              *              *              62                220               0       0       1       0       0       0       0
1         0           235            0              0              2              62                220               0       0       1       0       0       0       0
// Summoner
0         0           235            0              *              *              62                220               0       0       0       0       0       1       0
1         0           235            0              0              2              62                220               0       0       0       0       0       1       0
// Marlon (State 1 -> 2)
2         0           229            0              1              2              110               220               2       2       2       0       0       2       0
3         0           229            0              2              2              110               220               0       2       0       0       0       0       0
// Apostle Devin (State 2 -> 3)
4         0           406            0              2              2              220               350               2       0       2       0       0       2       0
4         0           406            0              3              2              220               350               0       2       0       0       0       0       0
4         0           406            0              *              *              220               350               0       0       0       1       1       0       1
5         0           406            0              4              2              220               350               2       2       2       1       1       2       1
6         0           406            0              5              2              220               350               2       2       2       1       1       2       1

//=========================================================================================================
// QUEST 2: Third Quest - Priest Sevina (235) / Marlon (229)
// Progresión clásica: Nivel 110 en adelante para todas las clases.
//=========================================================================================================
0         0           235            1              *              *              110               350               1       1       1       1       1       1       1
1         0           235            1              0              2              110               350               1       1       1       1       1       1       1
2         0           229            1              1              2              220               350               2       2       2       1       1       2       1
3         0           229            1              2              2              220               350               0       2       0       0       0       0       0
4         0           406            1              2              2              220               350               2       0       2       0       0       2       0
4         0           406            1              3              2              220               350               0       2       0       0       0       0       0
4         0           406            1              *              *              220               350               0       0       0       1       1       0       1
5         0           406            1              4              2              220               350               2       2       2       1       1       2       1
6         0           406            1              5              2              220               350               2       2       2       1       1       2       1

//=========================================================================================================
// QUEST 3: Fourth Quest (Seal of Ascension) - Completion States
// Lógica Ajustada: Nivel 220 ~ 350 (Originalmente 380~400, ajustado para que sea posible en tu servidor con level cap 350)
//=========================================================================================================
6         0           406            2              5              2              220               350               2       2       2       1       1       2       1
5         0           406            2              4              2              220               350               2       2       2       1       1       2       1
4         0           406            2              2              2              220               350               2       0       2       0       0       2       0
4         0           406            2              3              2              220               350               0       2       0       0       0       0       0
4         0           406            2              *              *              220               350               0       0       0       1       1       0       1
3         0           229            2              2              2              220               350               0       2       0       0       0       0       0
2         0           229            2              1              2              220               350               2       2       2       0       0       2       0
1         0           235            2              0              2              110               350               1       1       1       0       0       1       0
0         0           235            2              *              *              110               350               1       1       1       0       0       1       0
end
