//	FILES PREMIUN SYSTEM CUSTOM BOW [200 MAX]
//=======================================================================================================
//Programaçao Por By:RDDLV Mu Misiones (@) 22/02/26
// FILES PREMIUN 
//===============================================================================================================
// Custom Bows & Crossbows Config File
//===============================================================================================================
// Valid EffecID: 266,267,268,269,270,271,272,273,274
//		  294,295,296,297,298,321,324,335,509
//---------------------------------------------------------------------------------------------------------------
// Type: Crossbows -> 1; Bows -> 0;
//---------------------------------------------------------------------------------------------------------------
//recomendado Posicionamiento en Inventario Bow:
//TranslationX	TranslationY	RotationX	RotationY	RotationZ	Scale
//-0.1			0.10			-90.0		180.0		15.0		1.0
//---------------------------------------------------------------------------------------------------------------
//recomendado Posicionamiento en Inventario CrosBow:
//TranslationX	TranslationY	RotationX	RotationY	RotationZ	Scale
//0.0			0.03			180.0		90.0		20.0		1.0
//===============================================================================================================
//ItemID        Model                   Type    EffecID     ColorR  ColorG  ColorB
2073	 	"bow26"			0	509         123     229     92
2074		"devilcrossbow"		1	298         127     127     127
2076            "bloodangel_bow"      	0       270         205     192     176
2078		"absolute_gunbow"       1       298         253     255     119
2079            "Darkangel_Bow"	      	0       270         255     226     115
2084            "bow499"                0       298         0       0       0
2086           	"hs_soularcherbow_s"    0       270         239     154     70
2088            "blue_eyebow_stand"     0       509         122     139     168
2098            "bow500"                0       509         -1      -1      -1
2101            "Bow501"                0       298         -1      -1      -1
2090            "Bow502"                0       298         210     23      0
2091            "Bow503"                0       298         70      70      70
2092            "Bow504"                0       298         -1      -1      -1
2093            "Bow505"                0       298         70      70      70
2094            "Bow506"                0       298         -1      -1      -1
2095            "Bow507"                0       298         -1      -1      -1
2096            "Bow508"                0       298         -1      -1      -1
2097            "Bow509"                0       298         205     0       0
2104            "Bow510"                0       298         -1      -1      -1
2105            "Bow511"                0       298         -1      -1      -1      
2106            "Bow512"                0       298         -1      -1      -1
2107            "Bow513"                0       298         -1      -1      -1
2108            "Bow514"                0       298         -1      -1      -1
2109            "Bow515"                0       298         -1      -1      -1
2110            "Bow516"                0       298         -1      -1      -1
2111            "Bow517"                0       298         -1      -1      -1
2112            "Bow518"                0       298         -1      -1      -1
2113            "Bow519"                0       298         -1      -1      -1
2114            "Bow520"                0       298         -1      -1      -1
2115            "Bow521"                0       298         -1      -1      -1
//7194            "Zen: 500.000.000"                  0	0         0     0     0
//7195            "Zen: 1.000.000.000"                0	0          0     0     0
//7198             "Zen: 2.000.000.000"               0	0          0     0     0
