//ItemIndex   EffectIndex  EffectValue   EffectLevel   ColorR   ColorG   ColorB  EffectType     EffectSize   ColorSide
//FERIR DARK RAVEN
6856        32394         22            0             0.82     0.09    0.0     0.0         0.75         0.0
6856        32394         28            0             0.82     0.09    0.0     0.0         0.75         0.0 
6856        32394         37            0             0.82     0.09    0.0     0.0         0.75         0.0
6856        32394         45            0             0.82     0.09    0.0     0.0         0.75         0.0 

//FERIR ARMAGEDON
6859        32394         22            0             0.82     0.09    0.0     0.0         0.75         0.0
6859        32394         28            0             0.82     0.09    0.0     0.0         0.75         0.0 
6859        32394         37            0             0.82     0.09    0.0     0.0         0.75         0.0
6859        32394         45            0             0.82     0.09    0.0     0.0         0.75         0.0 

//FERIR BLOOD VAMPIRE
6893        32394         22            0             0.82     0.09    0.0     0.0         0.75         0.0
6893        32394         28            0             0.82     0.09    0.0     0.0         0.75         0.0 
6893        32394         37            0             0.82     0.09    0.0     0.0         0.75         0.0
6893        32394         45            0             0.82     0.09    0.0     0.0         0.75         0.0 

//HOUSE REDGLOST
6904        32394         42            0            1.0     0.0     0.0     0.0         0.75         0.0
6904        32394         52            0            1.0     0.0     0.0     0.0         0.75         0.0
6904        32394         74            0            1.0     0.0     0.0     0.0         0.75         0.0
6904        32394         85            0            1.0     0.0     0.0     0.0         0.75         0.0 

//HOUSE GLOSTBLUE
6886	   32394	 42             0			0.35	0.68	1.0		0.0		0.75	        0.0
6886	   32394	 52	        0			0.35	0.68	1.0		0.0		0.75		0.0
6886	   32394	 74	        0			0.35	0.68	1.0		0.0		0.75		0.0
6886	   32394	 85	        0			0.35	0.68	1.0		0.0		0.75		0.0
//Eye                                                                       
6886	   32394	 30		0			1.0	1.0	1.0		0.0		0.4 		0.0
6886	   32394	 35		0			1.0	1.0	1.0		0.0		0.4 		0.0 
end
