//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType   ModelName
1       6294    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing200"
2       6295    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "USK_War2.0Wings"
3       6296    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "USK_War2.0Cloak"
4       6297    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wings2010"
5       6298    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing205"
6       6299    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing2011"
7       6300    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing20000"
8       6301    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing1800"
9       6302    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing24321"
10      6303    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "Wing2445"
11      6304    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing18000"
12      6305    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing1560"
13      6306    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing2343"
14      6344    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wingdonate01"
16      6379    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing52"
17      6380    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "Wing53"
18      6381    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wingdemon"
19      6382    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "capademon"
20      6383    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wingX"
21      6384    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "WingDonate"
22      6345    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing415"
23      6385    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing800"
24      6386    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing801"
25      6387    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing802"
26      6388    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing803"
27      6288    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing806"
28      6289    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing805"
29      6290    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing807"
30      6291    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing808"
31      6292    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing809"
32      6293    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing810"
33      6307    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing811"
34      6308    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing812"
35      6309    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing813"
36      6310    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing814"
37      6311    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing815"
38      6312    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing816"
39      6313    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing817"
40      6314    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing818"
41      6315    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing819"
42      6409    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing820"
43      6316    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing821"
44      6317    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing822"
45      6318    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing823"
46      6319    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing824"
47      6320    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing825"
48      6321    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing826"
49      6322    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing827"
