//////////////////////////////////////////////////////////////////////////////////////////////////////////
// Custom Pet Glow by louis
//////////////////////////////////////////////////////////////////////////////////////////////////////////
// Index: Item section that will receive the color	
//
// Effect:  Type of glow (most used 2 or 70)
// 	- Others: 2 4 18 66 68 70 72 576 4162 16450 65600 65602 
//
// Color rgb: 0 ~ 255
//////////////////////////////////////////////////////////////////////////////////////////////////////////
//Index	Type	Effect  ColorR	ColorG	ColorB
6950	3	70	94	94	153
6950	2	70	42	80	50
6950	1	2	255	255	255
6890	1	70	180	84	167
6953	0	70	248	229     119
6953	1	65602	46	46      46
6953	2	65602	46	46      46
6954	0	70	42	170     51
6954	1	65602	42	170     51
6954	2	65600	152	132     81
6856	0	70	243     53	27	
6856	1	65600	105	45	45
6860	0	70	164     42      177	
6860	1	65600	164     42      177	
6859	0	70	243     53	27	
6859	1	65600	105	45	45	
//ice dragon ROJO
6862	1	70   	153	94      94
6862	1	65602   255	0	0			
6862	0	70      255     0	0	
6862	0	68      90	90	90			
6862	0	65600   255	60	0			
6862	2	70      255	0	0		
6862	2	65600   255	0	0
//Ice Dragon AZUL
6863	1	70   	94	94	153
6863	1	65602   0	0	255			
6863	0	70   	0	0	255	
6863	0	68   	90	90	90		
6863	0	65600   0	0	255		
6863	2	70   	0	0	255		
6863	2	65600   0	0	255
//Pet House Rena
6867	0	65602	189	111     1
6867	1	70	211	233     246
//Pet EagleHorus
2795	6	70	243	177     91
2795	5	70	243	177     91
2795	3	70	243	177     91
2795	2	70	243	177     91
//Pet MummyHorus
6938	0	70	243	177     91
// Fenrir Away Sky
6884	5	66	255	255	255
6884    6	66	255	255	255
6884    4	70	61	141	217
6884    3	70	61	141	217
6884    2	70	61	141	217
6884    1	2	255	255	255
6884    1	70   	61	141	217
6884    1	65602   255	255	255
6884    2	70   	61	141	217
6884    2	65600   255	255	255
// Fenrir Away Blue
6882	5	66	255	255	255
6882    6	66	255	255	255
6882    4	70	2	046	242
6882    3	70	2	046	242
6882    2	70	2	046	242
6882    1	2	255	255	255
6882    1	70   	2	046	242
6882    1	65602   255	255	255
6882    2	70   	2	046	242
6882    2	65600   255	255	255
// Fenrir Away Red
6883	5	66	255	255	255
6883    6	66	255	255	255
6883    4	70	240	41	41
6883    3	70	240	41	41
6883    2       70	240	41	41
6883    1       2	255	255	255
6883    1	70   	240	41	41
6883    1	65602   255	255	255
6883    2	70   	240	41	41
6883    2	65600   255	255	255
// Fenrir Away Green
6949	5	66	255	255	255
6949    6	66	255	255	255
6949    4	70	89	242	65
6949    3	70	89	242	65
6949    2	70	89	242	65
6949    1	2	255	255	255
6949    1	70   	89	242	65
6949    1	65602   255	255	255
6949    2	70   	89	242	65
6949    2	65600   255	255	255
// Fenrir Blood Vampire
6955	5	66	255	255	255
6955    6	66	255	255	255
6955    4	70	240	41	41
6955    3	70	240	41	41
6955    2       70	240	41	41
6955    1       2	255	255	255
6955    1	70   	240	41	41
6955    1	65602   255	255	255
6955    2	70   	240	41	41
6955    2	65600   255	255	255
// Horse Glost Red
6904	3	70	255	100	50
6904	2	70	255	100	50
6904	1	2	255	255	255
//Ice Dragon Steel by Kapocha
	6908		1		70		255		255		255	
	6908		2		70		255		255		255	

//Mini Fenrir Ghost
	6908		2		70		239		233		64
//Dinos
	6910		0		70		255		255		255
	6910		1		70		255		255		255
	6911		0		70		255		255		255
	6911		1		70		255		255		255
	6914		0		70		255		255		255
	6914		1		70		255		255		255
	6915		0		70		255		255		255
	6915		1		70		255		255		255
	6916		0		70		255		255		255
	6916		1		70		255		255		255
	6913		0		70		255		255		255
	6913		1		70		255		255		255
	6917		0		70		255		255		255
	6917		1		70		255		255		255

//Fenrir Black
6918	5	66	255	255	255
6918    6	66	255	255	255
6918    4	70	61	141	217
6918    3	70	61	141	217
6918    2	70	61	141	217
6918    1	2	255	255	255
6918    1	70   	61	141	217
6918    1	65602   255	255	255
6918    2	70   	61	141	217
6918    2	65600   255	255	255

//Fenrir Purple
6919	5	66	255	255	255
6919    6	66	255	255	255
6919    4	70	2	046	242
6919    3	70	2	046	242
