00:10:00 [AccountInfo] Account disconnected by clear (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
00:14:18 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
01:10:00 [AccountInfo] Account disconnected by clear (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
02:33:42 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
03:10:02 [AccountInfo] Account disconnected by clear (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
03:22:53 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
03:34:52 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
03:38:18 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
04:05:43 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
04:13:26 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
04:40:45 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
04:42:08 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
05:10:01 [AccountInfo] Account disconnected by clear (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
05:12:31 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
05:20:31 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
00:50:27 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
00:51:15 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
00:54:24 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
01:00:08 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
