00:08:07 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:08:08 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:14:38 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:16:33 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:31:08 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:33:10 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:34:16 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:40:32 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:45:33 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:45:33 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:46:04 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:46:05 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:46:50 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:46:51 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:48:47 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:49:40 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:58:02 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:58:21 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:03:39 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:04:13 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:07:54 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:08:40 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:12:38 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:13:00 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:15:18 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:16:15 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:19:04 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:20:06 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
